Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,512,128,24
100,2,8,640,128,18
100,5,1,2320,1024,1
100,4,8,1167,128,132
100,6,2,1309,512,1
100,7,4,1355,256,3
100,8,8,1280,128,6
100,9,16,1263,64,12
100,10,32,1236,32,23
100,11,32,1213,32,22
100,12,32,1235,32,17
100,13,32,1245,32,17
100,14,32,1222,32,16
228,1,8,512,128,24
228,2,8,640,128,18
228,5,1,2320,1024,1
228,4,8,1417,128,260
228,6,2,2333,512,3
228,7,4,2123,256,6
228,8,8,1920,128,11
228,9,16,1967,64,23
228,10,32,1908,32,44
228,11,32,1917,32,44
228,12,32,1907,32,38
228,13,32,1917,32,38
228,14,32,1926,32,38
362,1,8,512,128,24
362,2,8,640,128,18
362,5,1,3344,1024,2
362,4,8,1667,128,394
362,6,2,2845,512,4
362,7,4,2635,256,8
362,8,8,2688,128,17
362,9,16,2671,64,34
362,10,32,2644,32,67
362,11,32,2621,32,66
362,12,32,2643,32,61
362,13,32,2653,32,61
362,14,32,2630,32,60
490,1,8,512,128,24
490,2,8,640,128,18
490,5,1,3344,1024,2
490,4,8,1917,128,522
490,6,2,3357,512,5
490,7,4,3403,256,11
490,8,8,3328,128,22
490,9,16,3375,64,45
490,10,32,3316,32,88
490,11,32,3325,32,88
490,12,32,3347,32,83
490,13,32,3325,32,82
490,14,32,3334,32,82
623,1,8,512,128,24
623,2,8,640,128,18
623,5,1,4368,1024,3
623,4,8,2167,128,655
623,6,2,4381,512,7
623,7,4,4171,256,14
623,8,8,4096,128,28
623,9,16,4079,64,56
623,10,32,4020,32,110
623,11,32,4029,32,110
623,12,32,4051,32,105
623,13,32,4029,32,104
623,14,32,4038,32,104
751,1,8,512,128,24
751,2,8,640,128,18
751,5,1,5392,1024,4
751,4,8,2417,128,783
751,6,2,4893,512,8
751,7,4,4939,256,17
751,8,8,4736,128,33
751,9,16,4719,64,66
751,10,32,4724,32,132
751,11,32,4733,32,132
751,12,32,4723,32,126
751,13,32,4733,32,126
751,14,32,4710,32,125
884,1,8,512,128,24
884,2,8,640,128,18
884,5,1,6416,1024,5
884,4,8,2667,128,916
884,6,2,5917,512,10
884,7,4,5451,256,19
884,8,8,5504,128,39
884,9,16,5423,64,77
884,10,32,5428,32,154
884,11,32,5437,32,154
884,12,32,5427,32,148
884,13,32,5437,32,148
884,14,32,5446,32,148
1012,1,8,512,128,24
1012,2,8,640,128,18
1012,5,1,6416,1024,5
1012,4,8,2917,128,1044
1012,6,2,6429,512,11
1012,7,4,6219,256,22
1012,8,8,6144,128,44
1012,9,16,6127,64,88
1012,10,32,6132,32,176
1012,11,32,6109,32,175
1012,12,32,6131,32,170
1012,13,32,6141,32,170
1012,14,32,6118,32,169
1145,1,8,512,128,24
1145,2,8,640,128,18
1145,5,1,7440,1024,6
1145,4,8,3167,128,1177
1145,6,2,6941,512,12
1145,7,4,6987,256,25
1145,8,8,6912,128,50
1145,9,16,6831,64,99
1145,10,32,6836,32,198
1145,11,32,6845,32,198
1145,12,32,6835,32,192
1145,13,32,6845,32,192
1145,14,32,6822,32,191
1273,1,8,512,128,24
1273,2,8,640,128,18
1273,5,1,8464,1024,7
1273,4,8,3417,128,1305
1273,6,2,7965,512,14
1273,7,4,7755,256,28
1273,8,8,7552,128,55
1273,9,16,7535,64,110
1273,10,32,7508,32,219
1273,11,32,7517,32,219
1273,12,32,7507,32,213
1273,13,32,7517,32,213
1273,14,32,7526,32,213
1406,1,8,512,128,24
1406,2,8,640,128,18
1406,5,1,8464,1024,7
1406,4,8,3667,128,1438
1406,6,2,8477,512,15
1406,7,4,8267,256,30
1406,8,8,8320,128,61
1406,9,16,8239,64,121
1406,10,32,8244,32,242
1406,11,32,8221,32,241
1406,12,32,8243,32,236
1406,13,32,8253,32,236
1406,14,32,8230,32,235
1534,1,8,512,128,24
1534,2,8,640,128,18
1534,5,1,9488,1024,8
1534,4,8,3917,128,1566
1534,6,2,8989,512,16
1534,7,4,9035,256,33
1534,8,8,8960,128,66
1534,9,16,8943,64,132
1534,10,32,8916,32,263
1534,11,32,8925,32,263
1534,12,32,8915,32,257
1534,13,32,8925,32,257
1534,14,32,8934,32,257
1667,1,8,512,128,24
1667,2,8,640,128,18
1667,5,1,10512,1024,9
1667,4,8,4167,128,1699
1667,6,2,10013,512,18
1667,7,4,9803,256,36
1667,8,8,9728,128,72
1667,9,16,9647,64,143
1667,10,32,9620,32,285
1667,11,32,9629,32,285
1667,12,32,9619,32,279
1667,13,32,9629,32,279
1667,14,32,9638,32,279
1800,1,8,512,128,24
1800,2,8,640,128,18
1800,5,1,10512,1024,9
1800,4,8,4417,128,1832
1800,6,2,10525,512,19
1800,7,4,10571,256,39
1800,8,8,10368,128,77
1800,9,16,10351,64,154
1800,10,32,10356,32,308
1800,11,32,10333,32,307
1800,12,32,10355,32,302
1800,13,32,10365,32,302
1800,14,32,10342,32,301
1928,1,8,512,128,24
1928,2,8,640,128,18
1928,5,1,11536,1024,10
1928,4,8,4667,128,1960
1928,6,2,11037,512,20
1928,7,4,11083,256,41
1928,8,8,11136,128,83
1928,9,16,11055,64,165
1928,10,32,11028,32,329
1928,11,32,11037,32,329
1928,12,32,11027,32,323
1928,13,32,11037,32,323
1928,14,32,11046,32,323
2061,1,8,512,128,24
2061,2,8,640,128,18
2061,5,1,12560,1024,11
2061,4,8,4917,128,2093
2061,6,2,12061,512,22
2061,7,4,11851,256,44
2061,8,8,11776,128,88
2061,9,16,11759,64,176
2061,10,32,11732,32,351
2061,11,32,11741,32,351
2061,12,32,11763,32,346
2061,13,32,11741,32,345
2061,14,32,11750,32,345
2189,1,8,512,128,24
2189,2,8,640,128,18
2189,5,1,12560,1024,11
2189,4,8,5167,128,2221
2189,6,2,12573,512,23
2189,7,4,12619,256,47
2189,8,8,12416,128,93
2189,9,16,12463,64,187
2189,10,32,12436,32,373
2189,11,32,12445,32,373
2189,12,32,12435,32,367
2189,13,32,12445,32,367
2189,14,32,12422,32,366
2320,1,8,512,128,24
2320,2,8,640,128,18
2320,5,1,13584,1024,12
2320,4,8,5417,128,2352
2320,6,2,13597,512,25
2320,7,4,13131,256,49
2320,8,8,13184,128,99
2320,9,16,13167,64,198
2320,10,32,13140,32,395
2320,11,32,13117,32,394
2320,12,32,13139,32,389
2320,13,32,13149,32,389
2320,14,32,13126,32,388
2448,1,8,512,128,24
2448,2,8,640,128,18
2448,5,1,14608,1024,13
2448,4,8,5667,128,2480
2448,6,2,14109,512,26
2448,7,4,13899,256,52
2448,8,8,13824,128,104
2448,9,16,13871,64,209
2448,10,32,13812,32,416
2448,11,32,13821,32,416
2448,12,32,13811,32,410
2448,13,32,13821,32,410
2448,14,32,13830,32,410
2581,1,8,512,128,24
2581,2,8,640,128,18
2581,5,1,14608,1024,13
2581,4,8,5917,128,2613
2581,6,2,14621,512,27
2581,7,4,14667,256,55
2581,8,8,14592,128,110
2581,9,16,14575,64,220
2581,10,32,14548,32,439
2581,11,32,14525,32,438
2581,12,32,14547,32,433
2581,13,32,14525,32,432
2581,14,32,14534,32,432
2714,1,8,512,128,24
2714,2,8,640,128,18
2714,5,1,15632,1024,14
2714,4,8,6167,128,2746
2714,6,2,15645,512,29
2714,7,4,15435,256,58
2714,8,8,15232,128,115
2714,9,16,15279,64,231
2714,10,32,15252,32,461
2714,11,32,15229,32,460
2714,12,32,15251,32,455
2714,13,32,15261,32,455
2714,14,32,15238,32,454
2714,15,8,14342,128,0
2714,16,8,14342,128,0
2714,17,8,14342,128,0
2714,18,8,14342,128,0
2714,19,8,14342,128,0
2714,20,8,14342,128,0
2879,1,8,512,128,24
2879,2,8,640,128,18
2879,5,1,15632,1024,14
2879,4,8,6445,128,2911
2879,6,2,15645,512,29
2879,7,4,15691,256,59
2879,8,8,15616,128,118
2879,9,16,15535,64,235
2879,10,32,15540,32,470
2879,11,32,15517,32,469
2879,12,32,15539,32,464
2879,13,32,15517,32,463
2879,14,32,15526,32,463
2879,15,32,15529,32,40
2879,16,32,15535,32,40
2879,17,8,15622,128,10
2879,18,2,15675,512,2
2879,19,8,15622,128,10
2879,20,8,15622,128,10
3052,1,8,512,128,24
3052,2,8,640,128,18
3052,5,1,16656,1024,15
3052,4,8,6595,128,3084
3052,6,2,16157,512,30
3052,7,4,16203,256,61
3052,8,8,16256,128,123
3052,9,16,16175,64,245
3052,10,32,16148,32,489
3052,11,32,16157,32,489
3052,12,32,16147,32,483
3052,13,32,16157,32,483
3052,14,32,16166,32,483
3052,15,32,16169,32,60
3052,16,32,16175,32,60
3052,17,8,16262,128,15
3052,18,2,16187,512,3
3052,19,8,16262,128,15
3052,20,8,16262,128,15
3223,1,8,512,128,24
3223,2,8,640,128,18
3223,5,1,17680,1024,16
3223,4,8,6745,128,3255
3223,6,2,17181,512,32
3223,7,4,16971,256,64
3223,8,8,16768,128,127
3223,9,16,16815,64,255
3223,10,32,16788,32,509
3223,11,32,16797,32,509
3223,12,32,16787,32,503
3223,13,32,16797,32,503
3223,14,32,16774,32,502
3223,15,32,16777,32,79
3223,16,32,16783,32,79
3223,17,8,16774,128,19
3223,18,2,17211,512,5
3223,19,8,16774,128,19
3223,20,8,16774,128,19
3394,1,8,512,128,24
3394,2,8,640,128,18
3394,5,1,17680,1024,16
3394,4,8,6895,128,3426
3394,6,2,17693,512,33
3394,7,4,17483,256,66
3394,8,8,17408,128,132
3394,9,16,17455,64,265
3394,10,32,17396,32,528
3394,11,32,17405,32,528
3394,12,32,17427,32,523
3394,13,32,17405,32,522
3394,14,32,17414,32,522
3394,15,32,17417,32,99
3394,16,32,17423,32,99
3394,17,8,17414,128,24
3394,18,2,17723,512,6
3394,19,8,17414,128,24
3394,20,8,17414,128,24
3565,1,8,512,128,24
3565,2,8,640,128,18
3565,5,1,18704,1024,17
3565,4,8,7045,128,3597
3565,6,2,18205,512,34
3565,7,4,18251,256,69
3565,8,8,18048,128,137
3565,9,16,18031,64,274
3565,10,32,18036,32,548
3565,11,32,18045,32,548
3565,12,32,18035,32,542
3565,13,32,18045,32,542
3565,14,32,18022,32,541
3565,15,32,18025,32,118
3565,16,32,18031,32,118
3565,17,8,18054,128,29
3565,18,2,18235,512,7
3565,19,8,18054,128,29
3565,20,8,18054,128,29
3736,1,8,512,128,24
3736,2,8,640,128,18
3736,5,1,18704,1024,17
3736,4,8,7195,128,3768
3736,6,2,18717,512,35
3736,7,4,18763,256,71
3736,8,8,18688,128,142
3736,9,16,18671,64,284
3736,10,32,18644,32,567
3736,11,32,18653,32,567
3736,12,32,18675,32,562
3736,13,32,18653,32,561
3736,14,32,18662,32,561
3736,15,32,18665,32,138
3736,16,32,18671,32,138
3736,17,8,18694,128,34
3736,18,2,18747,512,8
3736,19,8,18694,128,34
3736,20,8,18694,128,34
3900,1,8,512,128,24
3900,2,8,640,128,18
3900,5,1,19728,1024,18
3900,4,8,7345,128,3932
3900,6,2,19741,512,37
3900,7,4,19275,256,73
3900,8,8,19328,128,147
3900,9,16,19247,64,293
3900,10,32,19252,32,586
3900,11,32,19261,32,586
3900,12,32,19251,32,580
3900,13,32,19261,32,580
3900,14,32,19238,32,579
3900,15,32,19241,32,156
3900,16,32,19247,32,156
3900,17,8,19334,128,39
3900,18,2,19259,512,9
3900,19,8,19334,128,39
3900,20,8,19334,128,39
4070,1,8,512,128,24
4070,2,8,640,128,18
4070,5,1,20752,1024,19
4070,4,8,7495,128,4103
4070,6,2,20253,512,38
4070,7,4,20043,256,76
4070,8,8,19968,128,152
4070,9,16,19887,64,303
4070,10,32,19860,32,605
4070,11,32,19869,32,605
4070,12,32,19859,32,599
4070,13,32,19869,32,599
4070,14,32,19846,32,598
4070,15,32,19849,32,175
4070,16,32,19855,32,175
4070,17,8,19974,128,44
4070,18,2,20283,512,11
4070,19,8,19974,128,44
4070,20,8,19974,128,44
4241,1,8,512,128,24
4241,2,8,640,128,18
4241,5,1,20752,1024,19
4241,4,8,7645,128,4274
4241,6,2,20765,512,39
4241,7,4,20555,256,78
4241,8,8,20608,128,157
4241,9,16,20527,64,313
4241,10,32,20500,32,625
4241,11,32,20509,32,625
4241,12,32,20499,32,619
4241,13,32,20509,32,619
4241,14,32,20486,32,618
4241,15,32,20489,32,195
4241,16,32,20495,32,195
4241,17,8,20486,128,48
4241,18,2,20795,512,12
4241,19,8,20486,128,48
4241,20,8,20486,128,48
4412,1,8,512,128,24
4412,2,8,640,128,18
4412,5,1,21776,1024,20
4412,4,8,7795,128,4445
4412,6,2,21277,512,40
4412,7,4,21323,256,81
4412,8,8,21120,128,161
4412,9,16,21167,64,323
4412,10,32,21108,32,644
4412,11,32,21117,32,644
4412,12,32,21107,32,638
4412,13,32,21117,32,638
4412,14,32,21126,32,638
4412,15,32,21129,32,215
4412,16,32,21135,32,215
4412,17,8,21126,128,53
4412,18,2,21307,512,13
4412,19,8,21126,128,53
4412,20,8,21126,128,53
4583,1,8,512,128,24
4583,2,8,640,128,18
4583,5,1,21776,1024,20
4583,4,8,7945,128,4616
4583,6,2,21789,512,41
4583,7,4,21835,256,83
4583,8,8,21760,128,166
4583,9,16,21743,64,332
4583,10,32,21748,32,664
4583,11,32,21757,32,664
4583,12,32,21747,32,658
4583,13,32,21757,32,658
4583,14,32,21766,32,658
4583,15,32,21737,32,234
4583,16,32,21743,32,234
4583,17,8,21766,128,58
4583,18,2,21819,512,14
4583,19,8,21766,128,58
4583,20,8,21766,128,58
4754,1,8,512,128,24
4754,2,8,640,128,18
4754,5,1,22800,1024,21
4754,4,8,8095,128,4787
4754,6,2,22813,512,43
4754,7,4,22347,256,85
4754,8,8,22400,128,171
4754,9,16,22383,64,342
4754,10,32,22356,32,683
4754,11,32,22365,32,683
4754,12,32,22355,32,677
4754,13,32,22365,32,677
4754,14,32,22374,32,677
4754,15,32,22377,32,254
4754,16,32,22351,32,253
4754,17,8,22406,128,63
4754,18,2,22843,512,16
4754,19,8,22406,128,63
4754,20,8,22406,128,63
4925,1,8,512,128,24
4925,2,8,640,128,18
4925,5,1,23824,1024,22
4925,4,8,8245,128,4958
4925,6,2,23325,512,44
4925,7,4,23115,256,88
4925,8,8,23040,128,176
4925,9,16,23023,64,352
4925,10,32,22964,32,702
4925,11,32,22973,32,702
4925,12,32,22995,32,697
4925,13,32,22973,32,696
4925,14,32,22982,32,696
4925,15,32,22985,32,273
4925,16,32,22991,32,273
4925,17,8,23046,128,68
4925,18,2,23355,512,17
4925,19,8,23046,128,68
4925,20,8,23046,128,68
5089,1,8,512,128,24
5089,2,8,640,128,18
5089,5,1,23824,1024,22
5089,4,8,8395,128,5122
5089,6,2,23837,512,45
5089,7,4,23627,256,90
5089,8,8,23680,128,181
5089,9,16,23599,64,361
5089,10,32,23572,32,721
5089,11,32,23581,32,721
5089,12,32,23571,32,715
5089,13,32,23581,32,715
5089,14,32,23590,32,715
5089,15,32,23593,32,292
5089,16,32,23567,32,291
5089,17,8,23686,128,73
5089,18,2,23867,512,18
5089,19,8,23686,128,73
5089,20,8,23686,128,73
5260,1,8,512,128,24
5260,2,8,640,128,18
5260,5,1,24848,1024,23
5260,4,8,8545,128,5293
5260,6,2,24349,512,46
5260,7,4,24395,256,93
5260,8,8,24320,128,186
5260,9,16,24239,64,371
5260,10,32,24212,32,741
5260,11,32,24221,32,741
5260,12,32,24211,32,735
5260,13,32,24221,32,735
5260,14,32,24198,32,734
5260,15,32,24201,32,311
5260,16,32,24207,32,311
5260,17,8,24198,128,77
5260,18,2,24379,512,19
5260,19,8,24198,128,77
5260,20,8,24198,128,77
5431,1,8,512,128,24
5431,2,8,640,128,18
5431,5,1,24848,1024,23
5431,4,8,8695,128,5464
5431,6,2,24861,512,47
5431,7,4,24907,256,95
5431,8,8,24832,128,190
5431,9,16,24879,64,381
5431,10,32,24852,32,761
5431,11,32,24829,32,760
5431,12,32,24851,32,755
5431,13,32,24829,32,754
5431,14,32,24838,32,754
5431,15,32,24841,32,331
5431,16,32,24847,32,331
5431,17,8,24838,128,82
5431,18,2,24891,512,20
5431,19,8,24838,128,82
5431,20,8,24838,128,82
5602,1,8,512,128,24
5602,2,8,640,128,18
5602,5,1,25872,1024,24
5602,4,8,8845,128,5635
5602,6,2,25885,512,49
5602,7,4,25675,256,98
5602,8,8,25472,128,195
5602,9,16,25455,64,390
5602,10,32,25460,32,780
5602,11,32,25437,32,779
5602,12,32,25459,32,774
5602,13,32,25469,32,774
5602,14,32,25446,32,773
5602,15,32,25449,32,350
5602,16,32,25455,32,350
5602,17,8,25478,128,87
5602,18,2,25915,512,22
5602,19,8,25478,128,87
5602,20,8,25478,128,87
5773,1,8,512,128,24
5773,2,8,640,128,18
5773,5,1,26896,1024,25
5773,4,8,8995,128,5806
5773,6,2,26397,512,50
5773,7,4,26187,256,100
5773,8,8,26112,128,200
5773,9,16,26095,64,400
5773,10,32,26068,32,799
5773,11,32,26077,32,799
5773,12,32,26067,32,793
5773,13,32,26077,32,793
5773,14,32,26086,32,793
5773,15,32,26089,32,370
5773,16,32,26063,32,369
5773,17,8,26118,128,92
5773,18,2,26427,512,23
5773,19,8,26118,128,92
5773,20,8,26118,128,92
5944,1,8,512,128,24
5944,2,8,640,128,18
5944,5,1,26896,1024,25
5944,4,8,9145,128,5977
5944,6,2,26909,512,51
5944,7,4,26699,256,102
5944,8,8,26752,128,205
5944,9,16,26735,64,410
5944,10,32,26708,32,819
5944,11,32,26685,32,818
5944,12,32,26707,32,813
5944,13,32,26717,32,813
5944,14,32,26694,32,812
5944,15,32,26697,32,389
5944,16,32,26703,32,389
5944,17,8,26758,128,97
5944,18,2,26939,512,24
5944,19,8,26758,128,97
5944,20,8,26758,128,97
